Temperature Log
Date, Temperature, Humidity
Feb 14, 2025 at 10:30 AM : 21°C, 11
Feb 14, 2025 at 11:00 AM : 21.4°C, 11
Feb 14, 2025 at 11:30 AM : 22.2°C, 13
Feb 14, 2025 at 12:00 PM : 22.5°C, 12
Feb 14, 2025 at 12:30 PM : 22.7°C, 11
Feb 14, 2025 at 1:00 PM : 22.8°C, 10
Feb 14, 2025 at 1:30 PM : 22.9°C, 10
Feb 14, 2025 at 2:00 PM : 23.1°C, 10
Feb 14, 2025 at 2:30 PM : 23.3°C, 9
Feb 14, 2025 at 3:00 PM : 23.3°C, 10
Feb 14, 2025 at 3:30 PM : 23.3°C, 10
Feb 14, 2025 at 4:00 PM : 22.8°C, 10
Feb 14, 2025 at 4:30 PM : 22.6°C, 10
Feb 14, 2025 at 5:00 PM : 22.7°C, 10
Feb 14, 2025 at 5:30 PM : 22.4°C, 10
Feb 14, 2025 at 6:00 PM : 22.3°C, 9
Feb 14, 2025 at 6:30 PM : 22.1°C, 10
Feb 14, 2025 at 7:00 PM : 21.8°C, 10
Feb 14, 2025 at 7:30 PM : 21.9°C, 10
Feb 14, 2025 at 8:00 PM : 21.9°C, 10
Feb 14, 2025 at 8:30 PM : 21.8°C, 11
Feb 14, 2025 at 9:00 PM : 21.8°C, 11
Feb 14, 2025 at 9:30 PM : 22.2°C, 12
Feb 14, 2025 at 10:00 PM : 22.3°C, 12
Feb 14, 2025 at 10:30 PM : 22.5°C, 12
Feb 14, 2025 at 11:00 PM : 22.9°C, 12
Feb 14, 2025 at 11:30 PM : 23.2°C, 11
Feb 15, 2025 at 12:00 AM : 23.4°C, 11
Feb 15, 2025 at 12:30 AM : 23.5°C, 11
Feb 15, 2025 at 1:00 AM : 23.5°C, 11
Feb 15, 2025 at 1:30 AM : 23.1°C, 11
Feb 15, 2025 at 2:00 AM : 23°C, 12
Feb 15, 2025 at 2:30 AM : 23°C, 12
Feb 15, 2025 at 3:00 AM : 22.9°C, 12
Feb 15, 2025 at 3:30 AM : 22.8°C, 12
Feb 15, 2025 at 4:00 AM : 22.7°C, 12
Feb 15, 2025 at 4:30 AM : 22.7°C, 12
Feb 15, 2025 at 5:00 AM : 22.6°C, 12
Feb 15, 2025 at 5:30 AM : 22.6°C, 12
Feb 15, 2025 at 6:00 AM : 22.5°C, 13
Feb 15, 2025 at 6:30 AM : 22.4°C, 12
Feb 15, 2025 at 7:00 AM : 22.3°C, 12
Feb 15, 2025 at 7:30 AM : 22.4°C, 12
Feb 15, 2025 at 8:00 AM : 22.4°C, 12
Feb 15, 2025 at 8:30 AM : 22.2°C, 12
Feb 15, 2025 at 9:00 AM : 22.1°C, 12
Feb 15, 2025 at 9:30 AM : 22.1°C, 12
Feb 15, 2025 at 10:00 AM : 22°C, 12
Feb 15, 2025 at 10:30 AM : 22.2°C, 12
Feb 15, 2025 at 11:00 AM : 22.1°C, 12
Feb 15, 2025 at 11:30 AM : 22.1°C, 11
Feb 15, 2025 at 12:00 PM : 22.3°C, 12
Feb 15, 2025 at 12:30 PM : 22.3°C, 11
Feb 15, 2025 at 1:00 PM : 22.5°C, 11
Feb 15, 2025 at 1:30 PM : 23°C, 11
Feb 15, 2025 at 2:00 PM : 23.3°C, 10
Feb 15, 2025 at 2:30 PM : 23.3°C, 10
Feb 15, 2025 at 3:00 PM : 23.4°C, 10
Feb 15, 2025 at 3:30 PM : 23.8°C, 10
Feb 15, 2025 at 4:00 PM : 23.9°C, 10
Feb 15, 2025 at 4:30 PM : 24°C, 10
Feb 15, 2025 at 5:00 PM : 24.2°C, 10
Feb 15, 2025 at 5:30 PM : 24.3°C, 10
Feb 15, 2025 at 6:00 PM : 24.2°C, 12
Feb 15, 2025 at 6:30 PM : 24.1°C, 14
Feb 15, 2025 at 7:00 PM : 23.9°C, 14
Feb 15, 2025 at 7:30 PM : 23.9°C, 15
Feb 15, 2025 at 8:00 PM : 23.9°C, 15
Feb 15, 2025 at 8:30 PM : 23.5°C, 17
Feb 15, 2025 at 9:00 PM : 23.5°C, 17
Feb 15, 2025 at 9:30 PM : 23.6°C, 17
Feb 15, 2025 at 10:00 PM : 23.5°C, 17
Feb 15, 2025 at 10:30 PM : 24°C, 17
Feb 15, 2025 at 11:00 PM : 24.1°C, 17
Feb 15, 2025 at 11:30 PM : 24.7°C, 17
Feb 16, 2025 at 12:00 AM : 24.9°C, 16
Feb 16, 2025 at 12:30 AM : 24.7°C, 16
Feb 16, 2025 at 1:00 AM : 24.3°C, 17
Feb 16, 2025 at 1:30 AM : 24.2°C, 17
Feb 16, 2025 at 2:00 AM : 24.1°C, 18
Feb 16, 2025 at 2:30 AM : 24.1°C, 18
Feb 16, 2025 at 3:00 AM : 24.2°C, 18
Feb 16, 2025 at 3:30 AM : 24.3°C, 19
Feb 16, 2025 at 4:00 AM : 24.5°C, 19
Feb 16, 2025 at 4:30 AM : 24.7°C, 19
Feb 16, 2025 at 5:00 AM : 24.7°C, 19
Feb 16, 2025 at 5:30 AM : 24.9°C, 19
Feb 16, 2025 at 6:00 AM : 25°C, 19
Feb 16, 2025 at 6:30 AM : 25.1°C, 19
Feb 16, 2025 at 7:00 AM : 25.2°C, 20
Feb 16, 2025 at 7:30 AM : 25.4°C, 20
Feb 16, 2025 at 8:00 AM : 25.6°C, 20
Feb 16, 2025 at 8:30 AM : 25.5°C, 20
Feb 16, 2025 at 9:00 AM : 25.4°C, 20
Feb 16, 2025 at 9:30 AM : 25.3°C, 20
Feb 16, 2025 at 10:00 AM : 25.3°C, 21
Feb 16, 2025 at 10:30 AM : 25.2°C, 21
Feb 16, 2025 at 11:00 AM : 25.2°C, 21
Feb 16, 2025 at 11:30 AM : 25.2°C, 21
Feb 16, 2025 at 12:00 PM : 25.6°C, 21
Feb 16, 2025 at 12:30 PM : 25.3°C, 21
Feb 16, 2025 at 1:00 PM : 24.7°C, 22
Feb 16, 2025 at 1:30 PM : 24.4°C, 23
Feb 16, 2025 at 2:00 PM : 24.6°C, 23
Feb 16, 2025 at 2:30 PM : 24.6°C, 23
Feb 16, 2025 at 3:00 PM : 24.6°C, 23
Feb 16, 2025 at 3:30 PM : 24.5°C, 23
Feb 16, 2025 at 4:00 PM : 24.1°C, 23
Feb 16, 2025 at 4:30 PM : 23.9°C, 24
Feb 16, 2025 at 5:00 PM : 24.1°C, 24
Feb 16, 2025 at 5:30 PM : 24°C, 24
Feb 16, 2025 at 6:00 PM : 23.6°C, 24
Feb 16, 2025 at 6:30 PM : 23°C, 24
Feb 16, 2025 at 7:00 PM : 22.6°C, 25
Feb 16, 2025 at 7:30 PM : 22.5°C, 26
Feb 16, 2025 at 8:00 PM : 22.1°C, 26
Feb 16, 2025 at 8:30 PM : 22.9°C, 25
Feb 16, 2025 at 9:00 PM : 23.4°C, 24
Feb 16, 2025 at 9:30 PM : 22.5°C, 23
Feb 16, 2025 at 10:00 PM : 22.8°C, 22
Feb 16, 2025 at 10:30 PM : 23.2°C, 21
Feb 16, 2025 at 11:00 PM : 23.6°C, 21
Feb 16, 2025 at 11:30 PM : 23.9°C, 20
Feb 17, 2025 at 12:00 AM : 23.3°C, 19
Feb 17, 2025 at 12:30 AM : 22.7°C, 18
Feb 17, 2025 at 1:00 AM : 22.2°C, 17
Feb 17, 2025 at 1:30 AM : 21.8°C, 18
Feb 17, 2025 at 2:00 AM : 21.4°C, 17
Feb 17, 2025 at 2:30 AM : 21.2°C, 17
Feb 17, 2025 at 3:00 AM : 21.3°C, 17
Feb 17, 2025 at 3:30 AM : 20.9°C, 17
Feb 17, 2025 at 4:00 AM : 20.8°C, 17
Feb 17, 2025 at 4:30 AM : 20.9°C, 17
Feb 17, 2025 at 5:00 AM : 20.9°C, 16
Feb 17, 2025 at 5:30 AM : 20.8°C, 16
Feb 17, 2025 at 6:00 AM : 20.7°C, 15
Feb 17, 2025 at 6:30 AM : 20.6°C, 15
Feb 17, 2025 at 7:00 AM : 20.4°C, 15
Feb 17, 2025 at 7:30 AM : 20.2°C, 14
Feb 17, 2025 at 8:00 AM : 19.7°C, 14
Feb 17, 2025 at 8:30 AM : 18.7°C, 13
Feb 17, 2025 at 9:00 AM : 17.7°C, 13
Feb 17, 2025 at 9:30 AM : 18.6°C, 14
Feb 17, 2025 at 10:00 AM : 19.9°C, 15
Feb 17, 2025 at 10:30 AM : 20.5°C, 16
Feb 17, 2025 at 11:00 AM : 20.8°C, 16
Feb 17, 2025 at 11:30 AM : 21.2°C, 15
Feb 17, 2025 at 12:00 PM : 21.5°C, 15
Feb 17, 2025 at 12:30 PM : 21.8°C, 15
Feb 17, 2025 at 1:00 PM : 22.2°C, 15
Feb 17, 2025 at 1:30 PM : 22.7°C, 15
Feb 17, 2025 at 2:00 PM : 23°C, 15
Feb 17, 2025 at 2:30 PM : 23.3°C, 15
Feb 17, 2025 at 3:00 PM : 23.7°C, 15
Feb 17, 2025 at 3:30 PM : 23.9°C, 15
Feb 17, 2025 at 4:00 PM : 24.3°C, 15
Feb 17, 2025 at 4:30 PM : 24.2°C, 14
Feb 17, 2025 at 5:00 PM : 24.2°C, 13
Feb 17, 2025 at 5:30 PM : 24.4°C, 13
Feb 17, 2025 at 6:00 PM : 24.1°C, 13
Feb 17, 2025 at 6:30 PM : 24.1°C, 13
Feb 17, 2025 at 7:00 PM : 24.2°C, 13
Feb 17, 2025 at 7:30 PM : 24.3°C, 13
Feb 17, 2025 at 8:00 PM : 23.7°C, 13
Feb 17, 2025 at 8:30 PM : 23.6°C, 14
